"file","line","linter","msg"
"optical-water.R",139,"return_linter","Use implicit return behavior; explicit return() is not needed."
"satimg-download.R",25,"return_linter","Use implicit return behavior; explicit return() is not needed."
"satimg-download.R",60,"indentation_linter","Indentation should be 25 spaces but is 6 spaces."
"satimg-download.R",98,"vector_logic_linter","Use `&&` in conditional expressions."
"satimg-download.R",112,"vector_logic_linter","Use `&&` in conditional expressions."
"satimg-download.R",129,"vector_logic_linter","Use `&&` in conditional expressions."
"satimg-download.R",165,"return_linter","Use implicit return behavior; explicit return() is not needed."
"satimg-download.R",176,"return_linter","Use implicit return behavior; explicit return() is not needed."
"satimg-download.R",183,"return_linter","Use implicit return behavior; explicit return() is not needed."
"stateflags-mod09.R",15,"return_linter","Use implicit return behavior; explicit return() is not needed."
"stateflags-mod09.R",23,"return_linter","Use implicit return behavior; explicit return() is not needed."
"stateflags-mod09.R",31,"return_linter","Use implicit return behavior; explicit return() is not needed."
"stateflags-mod09.R",37,"return_linter","Use implicit return behavior; explicit return() is not needed."
"stateflags-mod09.R",42,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-metrics.R",2,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-metrics.R",8,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",19,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",47,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",51,"vector_logic_linter","Use `||` in conditional expressions."
"tools-modis.R",73,"vector_logic_linter","Use `||` in conditional expressions."
"tools-modis.R",73,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"tools-modis.R",112,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",123,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",145,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",150,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"tools-modis.R",154,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",162,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",169,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",175,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",182,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",187,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"tools-modis.R",197,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-modis.R",211,"seq_linter","Use seq_len(ncol(...)) instead of 1:ncol(...), which is likely to be wrong in the empty edge case."
"tools-modis.R",212,"vector_logic_linter","Use `&&` in conditional expressions."
"tools-modis.R",215,"vector_logic_linter","Use `&&` in conditional expressions."
"tools-modis.R",232,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-python.R",5,"seq_linter","Use seq_along(...) instead of 1:length(...), which is likely to be wrong in the empty edge case."
"tools-python.R",9,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",6,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",12,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",17,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",22,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",42,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",54,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",60,"return_linter","Use implicit return behavior; explicit return() is not needed."
"tools-stat.R",67,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",11,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",19,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",27,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",32,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",37,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",42,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",50,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",69,"return_linter","Use implicit return behavior; explicit return() is not needed."
"xiaoflags-mod09.R",80,"seq_linter","Use seq_len(ncol(...)) instead of 1:ncol(...), which is likely to be wrong in the empty edge case."
"xiaoflags-mod09.R",82,"return_linter","Use implicit return behavior; explicit return() is not needed."
