"date","temperatures.max","temperatures.min","precipitation.amount","solar.amount","relativeHumidity.max","relativeHumidity.min","wind.morningMax","wind.dayMax","wind.average"
"2011-01-01",28.9699993133545,19.3199996948242,0,3427.71337890625,95.1999969482422,50.8699989318848,4.23794746398926,4.65591812133789,2.7461895942688
"2011-01-02",29.5599994659424,18.6200008392334,0,3920.38598632812,97.9800033569336,52.3800010681152,5.97704029083252,4.1464056968689,2.3796546459198
"2011-01-03",29.0100002288818,18.5400009155273,0,3825.9267578125,96.5100021362305,56.0400009155273,4.51813793182373,4.11718320846558,2.00254583358765
"2011-01-04",29.5400009155273,18.2199993133545,0,3974.84741210938,95.0299987792969,51.2700004577637,5.22424364089966,4.33541440963745,2.05583167076111
"2011-01-05",28.9200000762939,17.5300006866455,0,3872.33251953125,99.4700012207031,52.4500007629395,4.21072769165039,4.14140510559082,2.14426112174988
"2011-01-06",29.1000003814697,18.5400009155273,0,3805.6904296875,98.620002746582,55.2700004577637,4.97370910644531,3.65953493118286,1.80779087543488
"2011-01-07",28.6399993896484,18.5100002288818,0,3928.1982421875,96.0999984741211,63.2299995422363,6.83907318115234,5.01976108551025,2.62176895141602
"2011-01-08",29.4699993133545,18.3999996185303,0,4126.71044921875,98.1399993896484,55.0499992370605,4.25935363769531,3.80552887916565,1.88704693317413
"2011-01-09",29.8199996948242,19.1800003051758,0,3900.23291015625,96.5999984741211,55.689998626709,4.11592054367065,3.23398685455322,1.81618642807007
"2011-01-10",28.6299991607666,20.5900001525879,0,3404.68603515625,98.7099990844727,56.0299987792969,5.645339012146,4.27651929855347,2.24095821380615
"2011-01-11",29.2199993133545,20.9500007629395,4.1100001335144,3498.08862304688,98.7300033569336,56.7200012207031,4.06135988235474,3.67792081832886,1.61313951015472
"2011-01-12",28.4699993133545,21.0499992370605,0,3406.1181640625,95.8000030517578,62.689998626709,7.34194278717041,4.86208486557007,3.19534540176392
"2011-01-13",28.8600006103516,20.6200008392334,0,3583.27783203125,97.5599975585938,50.8199996948242,4.98494338989258,4.71141481399536,2.56191802024841
"2011-01-14",29.8799991607666,20.3700008392334,0,3649.03466796875,97.3199996948242,58.4799995422363,5.88028287887573,3.27136945724487,1.47840690612793
"2011-01-15",27.6900005340576,19.9599990844727,0.629999995231628,3598.70947265625,99.3600006103516,72.8499984741211,6.38663196563721,6.02383661270142,3.23909449577332
"2011-01-16",26.6900005340576,18.8500003814697,0,3387.07666015625,96.5199966430664,59.8499984741211,7.29340171813965,5.46420192718506,3.50541043281555
"2011-01-17",25.4300003051758,18.5599994659424,2.6399998664856,3253.39208984375,95.5299987792969,47.7999992370605,4.67076778411865,4.93141508102417,3.13449311256409
"2011-01-18",27.3799991607666,18.9500007629395,0.849363029003143,3543.615234375,97.0699996948242,59.1500015258789,3.6013126373291,4.55505514144897,2.34406208992004
"2011-01-19",31.2900009155273,20.0499992370605,4.55149698257446,3840.94750976562,98.1100006103516,48.1500015258789,4.81752014160156,4.47791624069214,2.08662676811218
"2011-01-20",29.1499996185303,21.2199993133545,4.24140357971191,3469.671875,100,59.0400009155273,4.04484224319458,3.30995273590088,1.40420019626617
"2011-01-21",28.7600002288818,21.1299991607666,0.00231925141997635,3750.3046875,99.1399993896484,64.0999984741211,3.8631443977356,4.82521820068359,2.52831244468689
"2011-01-22",29.75,21.3700008392334,0.00231925141997635,4010.32861328125,100,54.5499992370605,6.61936807632446,4.25600051879883,2.29351210594177
"2011-01-23",28.7999992370605,20.7099990844727,0.00231925141997635,3681.42724609375,96.2399978637695,60.5999984741211,7.40028190612793,5.21320104598999,2.25856637954712
"2011-01-24",29.0599994659424,20.7099990844727,4.55999994277954,3765.72314453125,97.0299987792969,55.7599983215332,6.89907169342041,5.0277214050293,2.63542222976685
"2011-01-25",29.9899997711182,19.9799995422363,0,3848.58740234375,95.120002746582,53.4500007629395,6.13218402862549,4.96046733856201,2.43434071540833
"2011-01-26",29.8899993896484,19.1800003051758,0,4145.21484375,96.9700012207031,50.3600006103516,5.36932468414307,4.46549272537231,2.33117127418518
"2011-01-27",30.3199996948242,18.5300006866455,0,4320.70458984375,96.0999984741211,45.5699996948242,5.40705537796021,4.46251058578491,2.26933979988098
"2011-01-28",28.9899997711182,18.7900009155273,0,4018.52758789062,97.1699981689453,55.3800010681152,4.27026081085205,3.39374923706055,1.70314466953278
"2011-01-29",30.9300003051758,19.2299995422363,0,4357.69140625,95.7600021362305,45,4.498854637146,4.46391296386719,2.46538829803467
"2011-01-30",29.1800003051758,19.3600006103516,0,4265.7646484375,96.4800033569336,57.0099983215332,6.26003360748291,5.04108810424805,3.24803996086121
"2011-01-31",28.6900005340576,17.3799991607666,0,4167.6142578125,93.8300018310547,51.0400009155273,7.14232635498047,5.80491590499878,3.50161910057068
"2011-02-01",27.7099990844727,17.2800006866455,0,4015.76196289062,92.1100006103516,42.5299987792969,6.35847616195679,4.86430597305298,2.68879389762878
"2011-02-02",27.8400001525879,16.5200004577637,4.89000034332275,4287.74755859375,94.7300033569336,40.25,3.60075283050537,4.51952886581421,2.24432849884033
"2011-02-03",28.4500007629395,15.9099998474121,0,4496.8759765625,97.129997253418,42.439998626709,5.84184312820435,4.14102745056152,2.11481094360352
"2011-02-04",28.6499996185303,18.2800006866455,0,4081.4404296875,97.5,50.6300010681152,4.05707502365112,3.36170887947083,1.59862434864044
"2011-02-05",29.9599990844727,19.9099998474121,0,4095.88842773438,97.8000030517578,50.25,3.29882454872131,3.86456274986267,1.94609117507935
