"","anthesis","TAir","TPan"
"1",0,22.9859741484823,25.12533900607
"2",0.1,22.9609947119358,25.1167556815325
"3",0.2,22.9366320198751,25.1084021923749
"4",0.3,22.9128708448246,25.1002720217006
"5",0.4,22.8896963352764,25.0923588523849
"6",0.5,22.8670940064076,25.0846565604004
"7",0.6,22.845049731027,25.0771592083825
"8",0.7,22.8235497307448,25.0698610394248
"9",0.8,22.802580567361,25.0627564710966
"10",0.9,22.7821291344658,25.0558400896733
"11",1,22.7621826492479,25.0491066445732
"12",1.1,22.7427286445048,25.0393283427137
"13",1.2,22.7237549608501,25.0245288694631
"14",1.3,22.7052497391141,25.010094796509
"15",1.4,22.6872014129307,24.9960171020859
"16",1.5,22.6695987015085,24.9822869871766
"17",1.6,22.6524306025798,24.9688958700122
"18",1.7,22.635686385524,24.9558353807087
"19",1.8,22.6193555846603,24.943097356035
"20",1.9,22.6034279927066,24.9306738343111
"21",2,22.5878936543994,24.9185570504315
"22",2.1,22.5727428602715,24.9067394310118
"23",2.2,22.5579661405836,24.8952135896552
"24",2.3,22.5435542594047,24.8839723223356
"25",2.4,22.5294982088399,24.8730086028951
"26",2.5,22.5157892034001,24.862315578652
"27",2.6,22.5024186745106,24.8518865661182
"28",2.7,22.4893782651556,24.8417150468214
"29",2.8,22.4766598246548,24.8317946632307
"30",2.9,22.4642554035688,24.8221192147836
"31",3,22.4521572487306,24.8126826540099
"32",3.1,22.4403577983997,24.8034790827518
"33",3.2,22.4288496775355,24.7945027484777
"34",3.3,22.4176256931878,24.7857480406865
"35",3.4,22.4066788300011,24.7772094874008
"36",3.5,22.3960022458294,24.7688817517469
"37",3.6,22.3855892674602,24.760759628619
"38",3.7,22.375433386443,24.7528380414255
"39",3.8,22.3655282550215,24.7451120389168
"40",3.9,22.3558676821662,24.7375767920896
"41",4,22.3464456297045,24.7302275911695
"42",4.1,22.337256208547,24.7230598426666
"43",4.2,22.3282936750063,24.7160690665049
"44",4.3,22.3195524272071,24.7092508932215
"45",4.4,22.3110270015851,24.7026010612364
"46",4.5,22.3027120694717,24.6961154141879
"47",4.6,22.2946024337636,24.6897898983356
"48",4.7,22.2866930256746,24.6836205600262
"49",4.8,22.2789789015671,24.6776035432224
"50",4.9,22.2714552398625,24.6717350870927
"51",5,22.2641173380272,24.6660115236612
"52",5.1,22.2569606096338,24.6604292755143
"53",5.2,22.2499805814939,24.6549848535653
"54",5.3,22.2431728908629,24.6496748548731
"55",5.4,22.2365332827125,24.6444959605157
"56",5.5,22.2300576070714,24.6394449335157
"57",5.6,22.2237418164315,24.6345186168166
"58",5.7,22.2175819632182,24.6297139313102
"59",5.8,22.2115741973226,24.6250278739116
"60",5.9,22.2057147636954,24.6204575156824
"61",6,22.2,24.616
"62",6.1,22.353507937745,24.7357361914411
"63",6.2,22.506948541835,24.8554198626313
"64",6.3,22.6602545081499,24.9749985163569
"65",6.4,22.8133585916259,25.0664065215257
"66",6.5,22.9661936357519,25.118540581736
"67",6.6,23.1186926020263,25.1712535811869
"68",6.7,23.2707885993625,25.2245094743854
"69",6.8,23.422414913429,25.2782713158227
"70",6.9,23.5735050359134,25.3325013119718
"71",7,23.7239926936942,25.3871608737824
"72",7.1,23.8738118779111,25.4422106695635
"73",7.2,24.0228968729184,25.497610678154
"74",7.3,24.1711822851099,25.5533202422805
"75",7.4,24.318603071603,25.6092981220108
"76",7.5,24.4650945687684,25.6655025482125
"77",7.6,24.6105925205938,25.7218912759307
"78",7.7,24.7550331068689,25.7784216376062
"79",7.8,24.8983529711787,25.8350505960563
"80",7.9,25.0404892486939,25.891734797146
"81",8,25.1813795937456,25.9484306220834
